Game (459 total),Genre,Year Released,Year Beaten,Platform,Rating,,,
9 Hours 9 Persons 9 Doors,VN,2009,2015,NDS,5,,,
Ace Combat Zero,Flight,2006,2013,PS2,5,,Scale,
Ace Combat 5,Flight,2004,2013,PS2,5,,5,"""This game owns"""
Ace Combat 7,Flight,2019,2019,PS4,5,,4,"""This game's real good"""
Alcahest,ARPG,1993,,SNES,5,,3,"""This game is not bad"""
Chrono Trigger,JRPG,1995,2014,SNES,5,,2,"""This game is bad"""
Danganronpa V3,VN,2017,2017,PC,5,,1,"""I hate this game"""
Dokapon Kingdom,Party,2007,2015,Wii,5,,,
Donkey Kong Country 2,2D Platformer,1995,2013,SNES,5,,,
Doom 2,FPS,1995,,PC,5,,,
Doom 64,FPS,1997,2021,N64,5,,,
Dragon Quest Heroes: Rocket Slime,ARPG,2005,,NDS,5,,,
Dragon Quest Monsters 2: Tara's Adventure,JRPG,2001,,GBC,5,,,
F-Zero GX,Racing,2003,2019,GCN,5,,,
Grand Theft Auto: San Andreas,Open World,2004,2013,PC,5,,,
Grand Theft Auto: Vice City,Open World,2002,2013,PC,5,,,
Gravity Rush,Open World,2012,2016,PSV,5,,,
Halo 2,FPS,2004,2013,XBOX,5,,,
Halo 3,FPS,2007,2014,X360,5,,,
Jak & Daxter: the Precursor Legacy,3D Platformer,2001,2013,PS2,5,,,
Jet Set Radio Future,Action,2002,,XBOX,5,,,
Juggernaut,Adventure,1999,2021,PS1,5,,,
Katamari Damacy,WTF,2004,2012,PS2,5,,,
Mario Party 3,Party,2000,2018,N64,5,,,
Metal Gear Solid,Stealth,1998,2012,PS1,5,,,
Metal Gear Solid 3,Stealth,2004,2012,PS2,5,,,
Metroid Prime,FPS,2002,,GCN,5,,,
Ninja Gaiden,2D Platformer,1988,2013,NES,5,,,
Onimusha,Action,2001,2013,PS2,5,,,
Paper Mario,JRPG,2000,2014,N64,5,,,
Paper Mario: the Thousand-Year Door,JRPG,2004,,GCN,5,,,
